Source	Target	mode	section	date	labelSource	labelTarget	PoemTitle	PoemDate	precision	unit	quantity
1629_pusilipo-figueroa	Góngora, Luis de	polemist		1629	Suárez de Figueroa, Cristóbal					
1629_pusilipo-figueroa	Marcial	authority		1629	Suárez de Figueroa, Cristóbal			mentionné et cité		
1629_pusilipo-figueroa	Estacio	authority		1629	Suárez de Figueroa, Cristóbal			mentionné et cité		
1629_pusilipo-figueroa	Góngora, Luis de	polemist		1629	Suárez de Figueroa, Cristóbal					
1629_pusilipo-figueroa	Tácito	authority		1629	Suárez de Figueroa, Cristóbal			mentionné et cité		
1629_pusilipo-figueroa	OC157	ref		1629	Suárez de Figueroa, Cristóbal	De Tisbe y Píramo quiero	1604			
1629_pusilipo-figueroa	OC317	ref		1629	Suárez de Figueroa, Cristóbal	La ciudad de Babilonia,	1618			
1629_pusilipo-figueroa	OC77	ref		1629	Suárez de Figueroa, Cristóbal	Arrojóse el mancebito	1589			
1629_pusilipo-figueroa	OC230	ref		1629	Suárez de Figueroa, Cristóbal	Aunque entiendo poco griego	1610			
1629_pusilipo-figueroa	OC317	ref		1629	Suárez de Figueroa, Cristóbal	La ciudad de Babilonia,	1618			
1629_pusilipo-figueroa	Claudiano	authority		1629	Suárez de Figueroa, Cristóbal			mentionné et cité		
1629_pusilipo-figueroa	Estacio	authority		1629	Suárez de Figueroa, Cristóbal			mentionné et cité		

