Id	Label	type	date
1624_colmenares-contra-lope	1624_colmenares-contra-lope	text	1624
Heródoto	Heródoto	authority	
Luis de Góngora	Luis de Góngora	polemista	
Cicerón	Cicerón	authority	
Pico della Mirandola, Giovanni	Pico della Mirandola, Giovanni	authority	
Aulo Gelio	Aulo Gelio	authority	
Quintiliano	Quintiliano	authority	
Arias Montano, Benito	Arias Montano, Benito	authority	
Horacio	Horacio	authority	
san Agustín	san Agustín	authority	
Aristóteles	Aristóteles	authority	
Alejandro Pacio	Alejandro Pacio	authority	
Sánchez de las Brozas, Francisco	Sánchez de las Brozas, Francisco	authority	
Virgilio	Virgilio	authority	
Despautère, Jean	Despautère, Jean	authority	
Beda el Venerable	Beda el Venerable	authority	
Lope de Vega	Lope de Vega	polemista	
Luciano	Luciano	authority	
Plinio	Plinio	authority	
san Isidoro	san Isidoro	authority	
Persio	Persio	authority	
Ovidio	Ovidio	authority	
Lactancio	Lactancio	authority	
Estéleno	Estéleno	authority	
Esténelo	Esténelo	authority	
Florido Sabino, Francesco	Florido Sabino, Francesco	authority	
Empédocles	Empédocles	authority	
Scala, Bartolomeo	Scala, Bartolomeo	authority	
Poliziano, Angelo	Poliziano, Angelo	authority	
Platón	Platón	authority	
Savonarola, Girolamo	Savonarola, Girolamo	authority	
san Crisóstomo	san Crisóstomo	authority	
Robortello, Francesco	Robortello, Francesco	authority	
Heliodoro	Heliodoro	authority	
Apuleyo	Apuleyo	authority	
Sannazaro	Sannazaro	authority	
Sammartino, Matteo di	Sammartino, Matteo di	authority	
Gregoire, Pierre	Gregoire, Pierre	authority	
Francisco de Quevedo	Francisco de Quevedo	polemista	
Suárez, Cipriano	Suárez, Cipriano	authority	
Talon, Omer	Talon, Omer	authority	
Magno Tirio	Magno Tirio	authority	
Carbone da Costacciaro, Lodovico	Carbone da Costacciaro, Lodovico	authority	
Plutarco	Plutarco	authority	
el dueño de este discurso	el dueño de este discurso	polemista	
Diego de Colmenares	Diego de Colmenares	polemista	
Macrobio	Macrobio	authority	
el dueño	el dueño	polemista	
Nebrija, Antonio de	Nebrija, Antonio de	authority	
Catulo	Catulo	authority	
Escalígero	Escalígero	authority	
Plauto	Plauto	authority	
Aristófanes	Aristófanes	authority	
Jasón de Nores	Jasón de Nores	authority	
Sócrates	Sócrates	authority	
Lino	Lino	authority	
Orfeo	Orfeo	authority	
Anfíon	Anfíon	authority	
Homero	Homero	authority	
Livio Andrónico	Livio Andrónico	authority	
Ennio	Ennio	authority	
Petrarca	Petrarca	authority	
Zonaras	Zonaras	authority	
Génébrard, Gilbert	Génébrard, Gilbert	authority	
Beuter, Pedro Antonio	Beuter, Pedro Antonio	authority	
Second, Jan	Second, Jan	authority	
León, fray Luis de	León, fray Luis de	authority	
Manilio	Manilio	authority	
Vida, Girolamo	Vida, Girolamo	authority	
Hesíodo	Hesíodo	authority	
Papinio	Papinio	authority	
Vitruvio	Vitruvio	authority	
Galand, Pierre	Galand, Pierre	authority	
Tertuliano	Tertuliano	authority	
Florido, Francisco	Florido, Francisco	authority	
Grifoli, Jacopo	Grifoli, Jacopo	authority	
Dionisio Lambino	Dionisio Lambino	authority	
Lucrecio	Lucrecio	authority	
Sigüenza, José de	Sigüenza, José de	authority	
Crinito, Pietro	Crinito, Pietro	authority	
Ricchieri, Luigi	Ricchieri, Luigi	authority	
Dodoens, Rembert	Dodoens, Rembert	authority	
Gesner, Konrad	Gesner, Konrad	authority	
Rávido	Rávido	authority	
Zsámboki, János	Zsámboki, János	authority	
Suetonio	Suetonio	authority	
Hieroteo	Hieroteo	authority	
Flavio Dextro	Flavio Dextro	authority	
OC264A	Pasos de un peregrino son, errante [Dedicatoria Soledades]	ref	1613
OC255	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	ref	1612
OC264B	Era del año la estación florida [Soledad Primera]	ref	1613
