Id	Label	type	date
1614_parecer	1614_parecer	text	1614
Virgilio	Virgilio	authority	
Propercio	Propercio	authority	
Estacio	Estacio	authority	
Lucano	Lucano	authority	
Horacio	Horacio	authority	
Ovidio	Ovidio	authority	
San Pablo	San Pablo	authority	
Epiménides cretense	Epiménides cretense	authority	
Plauto	Plauto	authority	
Cerda, Juan Luis de la	Cerda, Juan Luis de la	authority	
Cicerón	Cicerón	authority	
Aulo Gelio	Aulo Gelio	authority	
Conrado Licóstenes	Conrado Licóstenes	authority	
Teócrito	Teócrito	authority	
Policiano	Policiano	authority	
Catulo	Catulo	authority	
Aristóteles	Aristóteles	authority	
Quintiliano	Quintiliano	authority	
Diomedes	Diomedes	authority	
Tasso, Torcuato	Tasso, Torcuato	authority	
Minturno, Antonio	Minturno, Antonio	authority	
Escalígero	Escalígero	authority	
Luisio, Francisco	Luisio, Francisco	authority	
Vida, Marco Girolamo	Vida, Marco Girolamo	authority	
Luciano de Samosata	Luciano de Samosata	authority	
San Jerónimo	San Jerónimo	authority	
Terencio	Terencio	authority	
Máximo de Tiro	Máximo de Tiro	authority	
Celio Firmiano Simposio	Celio Firmiano Simposio	authority	
Heráclito	Heráclito	authority	
Persio	Persio	authority	
Eliano	Eliano	authority	
Fracastoro, Girolamo	Fracastoro, Girolamo	authority	
Bión de Esmirna	Bión de Esmirna	authority	
Titus Calpurnius Siculus	Titus Calpurnius Siculus	authority	
Severus Sanctus Endelechius	Severus Sanctus Endelechius	authority	
Petrarca	Petrarca	authority	
Sannazaro	Sannazaro	authority	
Pontano, Giovanni	Pontano, Giovanni	authority	
Rosiglia, Marco	Rosiglia, Marco	authority	
Benivieni, Girolamo	Benivieni, Girolamo	authority	
Tasso, Bernardo	Tasso, Bernardo	authority	
Alemanni, Luigi	Alemanni, Luigi	authority	
Garcilaso	Garcilaso	authority	
Gaius Valerius Flaccus	Gaius Valerius Flaccus	authority	
Valencia, Pedro de	Valencia, Pedro de	polemist	
Marcial	Marcial	authority	
Teofrasto	Teofrasto	authority	
Plinio el Viejo	Plinio el Viejo	authority	
Bembo, Pietro	Bembo, Pietro	authority	
Tibulo	Tibulo	authority	
Donato	Donato	authority	
Eurípides	Eurípides	authority	
Tácito	Tácito	authority	
Diodoro Sículo	Diodoro Sículo	authority	
Fabriano, Giovanni Andrea Gilio da	Fabriano, Giovanni Andrea Gilio da	authority	
Biblia	Biblia	authority	
Oh bienaventurado albergue, a cualquier hora[OC264B	Era del año la estación florida [Soledad Primera]	ref	1613
«mas conculcado el pámpano más tierno»	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	ref	1612
«Éntrase el mar por un arroyo breve / que a recibillo con sediento paso / de su roca natal se precipita, / y mucha sal no solo en poco vaso, / mas en su ruina bebe, / y a su fin, cristalina (mariposa / no alada, sino undosa) / en el farol de Tetis solicita»	Éntrase el mar por un arroyo breve [Soledad Segunda]	ref	1614
