Source	Target	mode	section	date	labelSource	labelTarget	PoemTitle	PoemDate	precision	unit	quantity
1633_tragedia	Aristóteles	authority		1633	González de Salas, Jusepe Antonio	Aristóteles			mentionné		
1633_tragedia	Aristóteles	authority		1633	González de Salas, Jusepe Antonio	aquel ilustre maestro			mentionné		
1633_tragedia	Aristóteles	authority		1633	González de Salas, Jusepe Antonio	Aristóteles			mentionné		
1633_tragedia	Quintiliano	authority		1633	González de Salas, Jusepe Antonio	Quintiliano			cité		
1633_tragedia	Demóstenes	authority		1633	González de Salas, Jusepe Antonio	Demóstenes			mentionné		
1633_tragedia	Hermógenes	authority		1633	González de Salas, Jusepe Antonio	Hermógenes			mentionné		
1633_tragedia	Aristóteles	authority		1633	González de Salas, Jusepe Antonio	Aristóteles			mentionné		
1633_tragedia	Favorino	authority		1633	González de Salas, Jusepe Antonio	Favorino			cité de seconde main		
1633_tragedia	Aulo Gelio	authority		1633	González de Salas, Jusepe Antonio	Aulo Gelio			mentionné		
1633_tragedia	Aristóteles	authority		1633	González de Salas, Jusepe Antonio	el divino Aristóteles			cité		
1633_tragedia	Hermógenes	authority		1633	González de Salas, Jusepe Antonio	Hermógenes			mentionné de seconde main		
1633_tragedia	Aristóteles	authority		1633	González de Salas, Jusepe Antonio	Aristóteles			mentionné de seconde main		
1633_tragedia	Luciano	authority		1633	González de Salas, Jusepe Antonio	Luciano			mentionné		
1633_tragedia	Plutarco	authority		1633	González de Salas, Jusepe Antonio	Plutarco			mentionné		
1633_tragedia	Quintiliano	authority		1633	González de Salas, Jusepe Antonio	nuestro español Quintiliano			cité		
1633_tragedia	Marcial	authority		1633	González de Salas, Jusepe Antonio	Marcial			mentionné		
1633_tragedia	Ovidio	authority		1633	González de Salas, Jusepe Antonio	Ovidio			mentionné		
1633_tragedia	Horacio	authority		1633	González de Salas, Jusepe Antonio	Horacio			cité		
1633_tragedia	Cicerón	authority		1633	González de Salas, Jusepe Antonio	Tulio			mentionné		
1633_tragedia	los maestros de la Historia	authority		1633	González de Salas, Jusepe Antonio	los maestros de la Historia			mentionné		
1633_tragedia	Aristóteles	authority		1633	González de Salas, Jusepe Antonio	Aristóteles			cité		
1633_tragedia	Aristóteles	authority		1633	González de Salas, Jusepe Antonio	¡Divino maestro!			mentionné		
1633_tragedia	Luciano	authority		1633	González de Salas, Jusepe Antonio	Luciano			cité		
1633_tragedia	Luciano	authority		1633	González de Salas, Jusepe Antonio	Luciano			mentionné		
1633_tragedia	Luciano	authority		1633	González de Salas, Jusepe Antonio	Luciano			mentionné		
1633_tragedia	Filóstrato	authority		1633	González de Salas, Jusepe Antonio	Filóstrato			mentionné		
1633_tragedia	Marcial	authority		1633	González de Salas, Jusepe Antonio	Marcial			mentionné		
1633_tragedia	San Jerónimo	authority		1633	González de Salas, Jusepe Antonio	San Jerónimo			cité		
1633_tragedia	Cicerón	authority		1633	González de Salas, Jusepe Antonio	Cicerón			mentionné		
1633_tragedia	San Jerónimo	authority		1633	González de Salas, Jusepe Antonio	San Jerónimo			mentionné		
1633_tragedia	Diógenes	authority		1633	González de Salas, Jusepe Antonio	Laercio			mentionné		
1633_tragedia	Quintiliano	authority		1633	González de Salas, Jusepe Antonio	Quintiliano			cité		
1633_tragedia	Quintiliano	authority		1633	González de Salas, Jusepe Antonio	Quintiliano			mentionné		
1633_tragedia	Horacio	authority		1633	González de Salas, Jusepe Antonio	maestro venusino			mentionné		

